year-month,notice,file
2019-1,20672,8548
2019-2,23782,20735
2019-3,19029,8517
2019-4,16629,8638
2019-5,16164,7474
2019-6,12770,7422
2019-7,32372,7605
2019-8,38783,4247
2019-9,15138,7057
2019-10,21618,9757
2019-11,24937,11201
2019-12,20491,10601
2020-1,21450,10093
2020-2,16788,10691
2020-3,17587,9951
2020-4,18754,9460
2020-5,83623,28611
2020-6,152623,37476
2020-7,11016,7972
2020-8,7149,5405
2020-9,13244,9258
2020-10,15021,10339
2020-11,18659,18264
2020-12,35860,15378
2021-1,16153,13535
2021-2,14447,9863
2021-3,17504,11698
2021-4,13561,9935
2021-5,13353,12439
2021-6,14631,13018
2021-7,24251,8516
2021-8,11232,6055
2021-9,0,0
2021-10,0,0
2021-11,0,0
2021-12,0,0
