year-month,notice,file
2001-1,62969,13413
2001-2,63665,14031
2001-3,63681,14621
2001-4,63700,14878
2001-5,63715,15339
2001-6,63730,15968
2001-7,63738,16396
2001-8,63754,16676
2001-9,63769,16867
2001-10,63790,16964
2001-11,63810,17107
2001-12,63830,17235
2002-1,63869,17360
2002-2,64452,17475
2002-3,64490,17584
2002-4,64541,17811
2002-5,64565,17862
2002-6,64602,17953
2002-7,64731,18038
2002-8,64770,18111
2002-9,64801,18160
2002-10,64882,18308
2002-11,65024,18408
2002-12,65172,18472
2003-1,65253,18517
2003-2,66215,18654
2003-3,66371,18768
2003-4,66459,18877
2003-5,66562,18921
2003-6,66674,19009
2003-7,66889,19088
2003-8,67050,19201
2003-9,67113,19257
2003-10,67294,19327
2003-11,67647,19396
2003-12,67948,19460
2004-1,68162,19536
2004-2,69078,19727
2004-3,69602,19772
2004-4,69934,19861
2004-5,70427,19971
2004-6,70628,20068
2004-7,70913,20202
2004-8,71261,20392
2004-9,71491,20620
2004-10,71936,20713
2004-11,72409,20785
2004-12,72985,20901
2005-1,73438,21056
2005-2,74549,21367
2005-3,75040,21547
2005-4,75494,21751
2005-5,75837,21895
2005-6,76240,22076
2005-7,76733,22619
2005-8,77328,24592
2005-9,77657,25172
2005-10,78279,26283
2005-11,79200,29917
2005-12,80376,32414
2006-1,80974,34103
2006-2,82357,36675
2006-3,83149,38579
2006-4,84241,40621
2006-5,84902,42146
2006-6,91748,44918
2006-7,92698,48848
2006-8,93833,52041
2006-9,94505,53520
2006-10,96108,62672
2006-11,98370,67556
2006-12,99886,71671
2007-1,101093,75126
2007-2,102671,78987
2007-3,104137,82763
2007-4,105761,85933
2007-5,107167,88682
2007-6,108453,93638
2007-7,109902,99472
2007-8,111328,104518
2007-9,112318,106541
2007-10,113735,110906
2007-11,116610,115855
2007-12,121122,118402
2008-1,126290,120202
2008-2,131321,122289
2008-3,135930,124181
2008-4,141465,125795
2008-5,147034,127307
2008-6,152052,128770
2008-7,157757,130216
2008-8,164459,131444
2008-9,170418,132107
2008-10,175867,133569
2008-11,180692,135527
2008-12,185278,136962
2009-1,189020,138536
2009-2,194299,140672
2009-3,199049,142169
2009-4,203609,143804
2009-5,208740,145356
2009-6,214518,147155
2009-7,221046,148830
2009-8,226543,150284
2009-9,228743,151036
2009-10,234278,152749
2009-11,239766,154083
2009-12,244911,155987
2010-1,248635,157337
2010-2,253425,159478
2010-3,258483,161645
2010-4,263204,164177
2010-5,268476,168331
2010-6,273694,170470
2010-7,278392,172808
2010-8,282807,176092
2010-9,285416,177686
2010-10,289794,181785
2010-11,294139,184514
2010-12,298735,189278
2011-1,303146,192882
2011-2,307810,197426
2011-3,311670,201885
2011-4,316143,207473
2011-5,319437,211053
2011-6,323110,214295
2011-7,327094,217213
2011-8,331399,219572
2011-9,333935,221521
2011-10,339913,224115
2011-11,345366,226672
2011-12,350400,229845
2012-1,355136,232769
2012-2,359865,236455
2012-3,365857,239832
2012-4,370749,242640
2012-5,374866,246634
2012-6,380874,249602
2012-7,387359,252040
2012-8,392091,254752
2012-9,394535,256600
2012-10,400138,259219
2012-11,405945,262485
2012-12,412700,265547
2013-1,417749,268641
2013-2,424855,272318
2013-3,432105,275564
2013-4,438473,278698
2013-5,445016,281707
2013-6,450002,284604
2013-7,455584,288482
2013-8,461219,291714
2013-9,465202,293566
2013-10,472305,296692
2013-11,478295,300388
2013-12,484508,303654
2014-1,490865,306990
2014-2,498847,311224
2014-3,507080,314702
2014-4,515661,318546
2014-5,526500,323683
2014-6,533426,327900
2014-7,541391,331835
2014-8,547985,336449
2014-9,550342,339019
2014-10,555334,343593
2014-11,559536,346557
2014-12,563333,349797
2015-1,567789,353401
2015-2,574359,357115
2015-3,579658,359614
2015-4,588117,364559
2015-5,592953,367673
2015-6,598137,371040
2015-7,603546,375225
2015-8,610218,378500
2015-9,613020,380848
2015-10,622124,385476
2015-11,630372,389546
2015-12,636599,393873
2016-1,643125,398009
2016-2,650866,403176
2016-3,657988,408223
2016-4,665122,413991
2016-5,671531,418607
2016-6,678227,423963
2016-7,685879,430136
2016-8,690199,434060
2016-9,694215,436675
2016-10,702560,441277
2016-11,709645,446393
2016-12,716811,452584
2017-1,725591,458260
2017-2,741763,465133
2017-3,758346,472308
2017-4,768609,478674
2017-5,777416,483673
2017-6,783877,488991
2017-7,796806,494898
2017-8,806585,501158
2017-9,810684,504490
2017-10,820306,510315
2017-11,834676,516697
2017-12,847378,523382
2018-1,857800,529484
2018-2,870028,537041
2018-3,881680,543606
2018-4,899750,557008
2018-5,913389,564918
2018-6,925398,571490
2018-7,936164,579321
2018-8,948874,587079
2018-9,955095,592433
2018-10,963670,599184
2018-11,976204,607860
2018-12,992524,616430
2019-1,1006468,623833
2019-2,1027140,632381
2019-3,1048078,655960
2019-4,1067105,664477
2019-5,1083733,673115
2019-6,1099897,680589
2019-7,1112667,688011
2019-8,1145039,695616
2019-9,1183821,699863
2019-10,1198959,706920
2019-11,1220576,716677
2019-12,1245508,727878
2020-1,1265998,738479
2020-2,1287448,748572
2020-3,1304236,759263
2020-4,1321822,769214
2020-5,1340576,778674
2020-6,1424192,807284
2020-7,1576814,844759
2020-8,1587828,852730
2020-9,1594975,858135
2020-10,1608218,867393
2020-11,1623239,877732
2020-12,1641671,896221
2021-1,1677530,911597
2021-2,1693683,925131
2021-3,1708129,934993
2021-4,1725633,946689
2021-5,1739189,956621
2021-6,1752539,969083
2021-7,1767168,982097
2021-8,1791411,990612
