year,doctype,doc_count
2013,publication,39960.0
2014,publication,53015.0
2015,publication,49639.0
2016,publication,62926.0
2017,publication,78793.0
2018,publication,91976.0
2019,publication,94730.0
2020,publication,114885.0
2021,publication,125402.0
2022,publication,161756.0
2013,image,28859.0
2014,image,32485.0
2015,image,29254.0
2016,image,36606.0
2017,image,35997.0
2018,image,44535.0
2019,image,308357.0
2020,image,45121.0
2021,image,49575.0
2022,image,36244.0
2013,dataset,2061.0
2014,dataset,2720.0
2015,dataset,6432.0
2016,dataset,7027.0
2017,dataset,20883.0
2018,dataset,16209.0
2019,dataset,18636.0
2020,dataset,23386.0
2021,dataset,33337.0
2022,dataset,39295.0
2013,presentation,370.0
2014,presentation,514.0
2015,presentation,840.0
2016,presentation,1335.0
2017,presentation,2014.0
2018,presentation,3159.0
2019,presentation,5653.0
2020,presentation,4986.0
2021,presentation,7105.0
2022,presentation,8162.0
2013,poster,108.0
2014,poster,218.0
2015,poster,301.0
2016,poster,656.0
2017,poster,873.0
2018,poster,1517.0
2019,poster,2158.0
2020,poster,2089.0
2021,poster,2804.0
2022,poster,4022.0
2013,software,65.0
2014,software,981.0
2015,software,1808.0
2016,software,4112.0
2017,software,6581.0
2018,software,6575.0
2019,software,8857.0
2020,software,13281.0
2021,software,20040.0
2022,software,28768.0
2013,video,44.0
2014,video,33.0
2015,video,93.0
2016,video,198.0
2017,video,344.0
2018,video,381.0
2019,video,605.0
2020,video,1421.0
2021,video,1985.0
2022,video,1799.0
2013,other,40.0
2014,other,80.0
2015,other,76.0
2016,other,94.0
2017,other,259.0
2018,other,1119.0
2019,other,1723.0
2020,other,2741.0
2021,other,4143.0
2022,other,5639.0
2013,lesson,20.0
2014,lesson,28.0
2015,lesson,43.0
2016,lesson,101.0
2017,lesson,241.0
2018,lesson,369.0
2019,lesson,420.0
2020,lesson,1007.0
2021,lesson,869.0
2022,lesson,1060.0
2013,physicalobject,
2014,physicalobject,1.0
2015,physicalobject,
2016,physicalobject,
2017,physicalobject,13.0
2018,physicalobject,32.0
2019,physicalobject,14.0
2020,physicalobject,19.0
2021,physicalobject,267.0
2022,physicalobject,495.0
2013,workflow,
2014,workflow,
2015,workflow,
2016,workflow,2.0
2017,workflow,
2018,workflow,
2019,workflow,
2020,workflow,
2021,workflow,
2022,workflow,
